code[unique=true];$parentcategories
HRMC3;Focus-Back-Headrest, FocusHD-Back-Headrest, FocusStool-Back-Headrest, FocusLT-Back-Headrest
HR1C0;Prava-Headrest
HR1C1;Prava-Headrest
HR1C2;Prava-Headrest
*PH0;Sona-Back-PullHandle
PH1;Sona-Back-PullHandle
PH2;Sona-Back-PullHandle
Focus.5651;FocusSide-Glides-FrameColor, FocusCafeStool-FrameColor
Focus.5652;FocusSide-Glides-FrameColor, FocusCafeStool-FrameColor
Focus.5641;FocusSide-Casters-FrameColor
Focus.5642;FocusSide-Casters-FrameColor
FC1;Lumin-FrameColor, Lumin-Sled-FrameColor, Movi-FrameFinish, Rio-FrameColor, Rio-WireRod-FrameColor, LuminStool-FrameColor, RioStool-FrameColor, WitSide-FrameColor, NovoLT-Back-FrameColor, AmplifyLT-FrameColor
Color.FC1;InFlex-FrameColor, InFlexStool-FrameColor
Novo.FC1;Novo-Back-FrameColor
NovoStool.FC1;NovoStool-Back-FrameColor
Amplify.FC1;Amplify-Mesh-Back-FrameColor, Amplify-UP-Back-FrameColor
AmplifyStool.FC1;AmplifyStool-Mesh-Back-FrameColor, AmplifyStool-UP-Back-FrameColor
LuminTask.FC1;Lumin-Task-FrameColor
RioTask.FC1;Rio-Task-FrameColor
Color.FC2;InFlex-FrameColor, InFlexStool-FrameColor
FC2;Movi-FrameFinish, Lumin-FrameColor, Rio-FrameColor, LuminStool-FrameColor, RioStool-FrameColor, WitSide-FrameColor
LuminTask.FC2;Lumin-Task-FrameColor
RioTask.FC2;Rio-Task-FrameColor
FC4;
FC5;
FC6;
FC7;InFlex-FrameColor, InFlexStool-FrameColor
52-FC7;Freelance-Frame-FrameColor, FreelanceBar-FrameColor
FC8;InFlex-FrameColor, InFlexStool-FrameColor
FC9;
FC10;
FC11;Torsa-Back-FrameColor
FC12;Movi-FrameFinish, Torsa-Back-FrameColor
Novo.FC12;Novo-Back-FrameColor
NovoStool.FC12;NovoStool-Back-FrameColor
Amplify.FC13;Amplify-Mesh-Back-FrameColor, Amplify-UP-Back-FrameColor
AmplifyStool.FC13;AmplifyStool-Mesh-Back-FrameColor, AmplifyStool-UP-Back-FrameColor
Novo.FC13;Novo-Back-FrameColor
NovoStool.FC13;NovoStool-Back-FrameColor
Amplify.FC14;Amplify-UP-Back-FrameColor
AmplifyStool.FC14;AmplifyStool-UP-Back-FrameColor
FC15;Lumin-Sled-FrameColor, Rio-WireRod-FrameColor
FC.B;Relay-FrameColor, Rowdy-FrameColor
FC.S;Relay-FrameColor
FC.C;Rowdy-FrameColor
FB;Freelance-Frame-FrameColor, FreelanceStool-Frame-FrameColor, FreelanceBar-FrameColor
FS;Freelance-Frame-FrameColor, FreelanceStool-Frame-FrameColor, FreelanceBar-FrameColor
Anytime.FB;Anytime-4Leg-FrameColor
Anytime.FS;Anytime-4Leg-FrameColor
AnytimeStool.FB;AnytimeStool-FrameColor
AnytimeStool.FS;AnytimeStool-FrameColor
Achv.FB;Achieve-4Leg-FrameColor
Achv.FS;Achieve-4Leg-FrameColor
FCB;Achieve-Casters-FrameColor
FCS;Achieve-Casters-FrameColor
Anytime.FCB;Anytime-Casters-FrameColor
Anytime.FCS;Anytime-Casters-FrameColor
OnCall.B;OnCall-FrameColor, OnCallStool-FrameColor
OnCall.C;OnCall-FrameColor, OnCallStool-FrameColor
Social.9611;Social-Glides-FrameColor
Social.9612;Social-Glides-FrameColor
Social.9641;Social-Casters-FrameColor
Social.9642;Social-Casters-FrameColor
Z1;Focus-Back-SupportColor, FocusHD-Back-SupportColor, FocusStool-Back-SupportColor, Wit-Back-SupportColor, WitStool-Back-SupportColor, FocusLT-Back-SupportColor
Z2;Focus-Back-SupportColor, FocusHD-Back-SupportColor, FocusStool-Back-SupportColor, Wit-Back-SupportColor, WitStool-Back-SupportColor, FocusLT-Back-SupportColor
Z3;Torsa-Back-SupportColor
Z4;Torsa-Back-SupportColor
*ZP;FocusExec-Back-SupportColor
*F0;Freelance-Seat, FreelanceStool-Seat, Achieve-Seat, TR2-Seat, TR2Stool-Seat
F1;Freelance-Seat, FreelanceStool-Seat, Achieve-Seat, TR2-Seat, TR2Stool-Seat
*SN;Torsa-Base-CylinderHeight, Amplify-Base-CylinderHeight, TR2-CylinderHeight
*ReAlign.SN;ReAlign-CylinderHeight
*ReAlignHD.SN;ReAlign-HD-CylinderHeight
*Sona.SN;Sona-CylinderHeight, Sona-Y-CylinderHeight
*Wit.SN;Wit-CylinderHeight
S3;TR2-CylinderHeight
ReAlign.S8;ReAlign-CylinderHeight, ReAlign-HD-CylinderHeight
Sona.S8;Sona-Y-CylinderHeight
S10;
Wit.S10;Wit-CylinderHeight
S13;Torsa-Base-CylinderHeight, Amplify-Base-CylinderHeight
Wit.S13;Wit-CylinderHeight
