INSERT_UPDATE Product;code[unique=true];$parentcategories;$catalogVersion;name[lang=en];description[lang=en];dependentProducts(code,$catalogVersion);unit(code);$prices;toolTipText;dependencyMessage[lang=en];thumbnailURL;thumbnailLargeURL;assetID;lineartURL;dynamicRendering;sortOrder[default=0];scene7Value;exportOnly;$approved;defaultSelected;dependentCategories(code,$catalogVersion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusExec.B1;FocusExec-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;FocusExec-Material-US, FocusExec-Back-MeshColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusStool.B1;FocusStool-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;40 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;1;;;;TRUE;FocusStool-Back-Size, FocusStool-Back-MeshColor, FocusStool-Back-Lumbar, FocusStool-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusHD.B1;FocusHD-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;40 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;1;;;;TRUE;FocusHD-Back-Size, FocusHD-Back-MeshColor, FocusHD-Back-Lumbar, FocusHD-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusLT.B1;FocusLT-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;40 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;TRUE;FocusLT-MeshColor, FocusLT-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusSide.B1;FocusSide-BackStyle;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;FocusSide-Back-MeshColor, FocusSide-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusCafeStool.B1;FocusCafeStool-BackStyle;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;FocusCafeStool-Back-MeshColor, FocusCafeStool-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Movi.MB;Movi-BackStyle;ExemplisCatalog:Staged;MB;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;MoviStool.MB;MoviStool-BackStyle;ExemplisCatalog:Staged;MB;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;WitSide.MB;WitSide-BackStyle;ExemplisCatalog:Staged;MB;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;TRUE;WitSide-MeshColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;B2;;ExemplisCatalog:Staged;B2;Plastic;;pieces;0 USD;Durable and easy to clean,  plastic back is ideal for intensive use areas. ;;;;;;0;;;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Vnt.B2;Focus-Back-Style;ExemplisCatalog:Staged;B2;Plastic;;pieces;0 USD;Durable and easy to clean,  plastic back is ideal for intensive use areas. ;;;;;;0;0;;;;TRUE;Focus-Back-PlasticSize, Focus-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusStool.B2;FocusStool-Back-Style;ExemplisCatalog:Staged;B2;Plastic;;pieces;0 USD;Durable and easy to clean,  plastic back is ideal for intensive use areas. ;;;;;;0;0;;;;TRUE;FocusStool-Back-PlasticSize, FocusStool-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusHD.B2;FocusHD-Back-Style;ExemplisCatalog:Staged;B2;Plastic;;pieces;0 USD;Durable and easy to clean,  plastic back is ideal for intensive use areas. ;;;;;;0;0;;;;TRUE;FocusHD-Back-PlasticSize, FocusHD-Material-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Amplify.B3;Amplify-Back-Style;ExemplisCatalog:Staged;B3;Upholstered;;pieces;48 USD;Fully upholstered delivers comfort and allows for fabric integration in design planning. ;;;;;;0;1;;;;;Amplify-UP-Back, Amplify-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;AmplifyStool.B3;AmplifyStool-Back-Style;ExemplisCatalog:Staged;B3;Upholstered;;pieces;20 USD;Fully upholstered delivers comfort and allows for fabric integration in design planning. ;;;;;;0;1;;;;;AmplifyStool-UP-Back, AmplifyStool-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusSide.B3;FocusSide-BackStyle;ExemplisCatalog:Staged;B3;Upholstered;;pieces;0 USD;Fully upholstered delivers comfort and allows for fabric integration in design planning. ;;;;;;0;1;;;;;FocusSide-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusCafeStool.B3;FocusCafeStool-BackStyle;ExemplisCatalog:Staged;B3;Upholstered;;pieces;0 USD;Fully upholstered delivers comfort and allows for fabric integration in design planning. ;;;;;;0;1;;;;;FocusCafeStool-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusExec.B4;FocusExec-Back-Style;ExemplisCatalog:Staged;B4;Upholstered Pad;;pieces;126 USD;A loose pillow back makes for a luxurious sit for ultimate comfort. ;;;;;;0;1;;;;;FocusExec-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Vnt.B4;Focus-Back-Style;ExemplisCatalog:Staged;B4;Upholstered Pad;;pieces;166 USD;A loose pillow back makes for a luxurious sit for ultimate comfort. ;;;;;;0;2;;;;FALSE;Focus-Back-Size, Focus-Back-Lumbar, Focus-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusStool.B4;FocusStool-Back-Style;ExemplisCatalog:Staged;B4;Upholstered Pad;;pieces;166 USD;A loose pillow back makes for a luxurious sit for ultimate comfort. ;;;;;;0;2;;;;FALSE;FocusStool-Back-Size, FocusStool-Back-Lumbar, FocusStool-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusHD.B4;FocusHD-Back-Style;ExemplisCatalog:Staged;B4;Upholstered Pad;;pieces;166 USD;A loose pillow back makes for a luxurious sit for ultimate comfort. ;;;;;;0;2;;;;FALSE;FocusHD-Back-Size, FocusHD-Back-Lumbar, FocusHD-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;FocusLT.B4;FocusLT-Back-Style;ExemplisCatalog:Staged;B4;Upholstered Pad;;pieces;166 USD;A loose pillow back makes for a luxurious sit for ultimate comfort. ;;;;;;0;1;;;;FALSE;FocusLT-Material-UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Sona.B7;Sona-Back-Style;ExemplisCatalog:Staged;B7;Knit;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;;Sona-Back-KnitColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Wit.B1;Wit-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;FALSE;Wit-Back-Size, Wit-Back-MeshColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Wit.B9;Wit-Back-Style;ExemplisCatalog:Staged;B9;Thintex;;pieces;66 USD;Triple-layered Thintex, developed by SitOnIt Seating, delivers comfort without bulk and a lean, design-friendly profile for space planning. ;;;;;;0;1;;;;FALSE;Wit-Back-Size, Wit-Back-ThintexType, Wit-Back-ThintexColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;WitStool.B1;WitStool-Back-Style;ExemplisCatalog:Staged;B1;Mesh;;pieces;0 USD;Breathable mesh creates a cool sit and a translucent look.;;;;;;0;0;;;;FALSE;WitStool-Back-MeshColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;WitStool.B9;WitStool-Back-Style;ExemplisCatalog:Staged;B9;Thintex;;pieces;66 USD;Triple-layered Thintex, developed by SitOnIt Seating, delivers comfort without bulk and a lean, design-friendly profile for space planning. ;;;;;;0;1;;;;FALSE;WitStool-Back-ThintexType, WitStool-Back-ThintexColor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;WitSide.TXB;WitSide-BackStyle;ExemplisCatalog:Staged;TXB;Thintex;;pieces;41 USD;Triple-layered Thintex, developed by SitOnIt Seating, delivers comfort without bulk and a lean, design-friendly profile for space planning. ;;;;;;0;1;;;;FALSE;WitSide-Thintex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
